Protein_id,locus_tag,note,length,panortholog
YP_003043744.1,ECB_00520,b0566,762,FALSE
YP_003043745.1,ECB_00521,b0567,891,FALSE
YP_003043746.1,ECB_00522,b0568,2973,FALSE
YP_003043747.1,ECB_00524,NA,171,FALSE
YP_003043748.1,ECB_00525,b3484,1137,FALSE
YP_003043749.1,ECB_00526,NA,162,FALSE
YP_003043750.1,ECB_00527,NA,291,FALSE
YP_003043751.1,ECB_00528,NA,261,FALSE
YP_003043752.1,ECB_00529,NA,558,FALSE
YP_003043753.1,ECB_00530,NA,1599,FALSE
YP_003043754.1,ECB_00531,b0570,1449,FALSE
YP_003043755.1,ECB_00532,b0571,684,FALSE
YP_003043756.1,ECB_00533,b0572,1374,FALSE
YP_003043757.1,ECB_00534,b0573,333,FALSE
YP_003043758.1,ECB_00535,b0574,1224,FALSE
YP_003043759.1,ECB_00536,b0575,3144,FALSE
YP_003043760.1,ECB_00537,b0576,1377,FALSE
YP_003043761.1,ECB_00538,b0577,1248,FALSE
YP_003043762.1,ECB_00539,b0578,654,FALSE
YP_003043763.1,ECB_00540,b0579,369,FALSE
YP_003043764.1,ECB_00541,b0580,249,FALSE
YP_003043765.1,ECB_00542,b0581,1119,FALSE
YP_003043766.1,ECB_00543,NA,522,FALSE
YP_003043767.1,ECB_00545,NA,504,FALSE
YP_003043768.1,ECB_00546,NA,276,FALSE
YP_003043769.1,ECB_00547,b4415,153,FALSE
YP_003043770.1,ECB_00548,NA,1113,FALSE
YP_003043771.1,ECB_00549,b0583,630,FALSE
YP_003043772.1,ECB_00550,b0584,2241,FALSE
YP_003043773.1,ECB_00551,b0585,1125,FALSE
YP_003043774.1,ECB_00552,b4511,219,FALSE
YP_003043775.1,ECB_00553,b0586,3882,FALSE
YP_003043776.1,ECB_00554,b0587,1134,FALSE
YP_003043777.1,ECB_00555,b0588,816,FALSE
YP_003043778.1,ECB_00556,b0589,993,FALSE
YP_003043779.1,ECB_00557,b0590,1005,FALSE
YP_003043780.1,ECB_00558,b0591,1251,FALSE
YP_003043781.1,ECB_00559,b0592,957,FALSE
YP_003043782.1,ECB_00560,b0593,1176,FALSE
YP_003043783.1,ECB_00561,b0594,1611,FALSE
YP_003043784.1,ECB_00562,b0595,858,FALSE
YP_003043785.1,ECB_00563,b0596,747,FALSE
YP_003043786.1,ECB_00564,b0597,414,FALSE
YP_003043787.1,ECB_00566,b4512,198,FALSE
YP_003043788.1,ECB_00567,b0599,1089,FALSE
YP_003043789.1,ECB_00568,b0600,1161,FALSE
YP_003043790.1,ECB_00569,b0601,630,FALSE
YP_003043791.1,ECB_00570,b0602,1062,FALSE
YP_003043792.1,ECB_00571,NA,504,FALSE
YP_003043793.1,ECB_00572,NA,276,FALSE
YP_003043794.1,ECB_00573,b0604,762,FALSE
YP_003043795.1,ECB_00574,b0605,564,FALSE
YP_003043796.1,ECB_00575,b0606,1566,FALSE
YP_003043797.1,ECB_00576,b0607,429,FALSE
YP_003043798.1,ECB_00577,b0608,1239,FALSE
YP_003043799.1,ECB_00578,b0610,411,FALSE
YP_003043800.1,ECB_00579,b0611,807,FALSE
YP_003043801.1,ECB_00580,b0612,1464,FALSE
YP_003043802.1,ECB_00581,b0613,879,FALSE
YP_003043803.1,ECB_00582,b0614,552,FALSE
YP_003043804.1,ECB_00583,b0615,1533,FALSE
YP_003043805.1,ECB_00584,b0616,909,FALSE
YP_003043806.1,ECB_00585,b0617,297,FALSE
YP_003043807.1,ECB_00586,b0618,1059,FALSE
YP_003043808.1,ECB_00587,NA,504,FALSE
YP_003043809.1,ECB_00588,NA,276,FALSE
YP_003043810.1,ECB_00589,b0619,1659,FALSE
YP_003043811.1,ECB_00590,b0620,681,FALSE
YP_003043812.1,ECB_00591,b0621,1386,FALSE
YP_003043813.1,ECB_00592,b0622,561,FALSE
YP_003043814.1,ECB_00593,b0623,210,FALSE
YP_003043815.1,ECB_00594,b0624,384,FALSE
YP_003043816.1,ECB_00595,b0625-b0626,789,FALSE
YP_003043817.1,ECB_00596,b0627,204,FALSE
YP_003043818.1,ECB_00597,b0628,966,FALSE
YP_003043819.1,ECB_00598,b0629,954,FALSE
YP_003043820.1,ECB_00599,b0630,642,FALSE
YP_003043821.1,ECB_00600,b0631,264,FALSE
YP_003043822.1,ECB_00601,b0632,1212,FALSE
YP_003043823.1,ECB_00602,b0633,1089,FALSE
YP_003043824.1,ECB_00603,b0634,1113,FALSE
YP_003043825.1,ECB_00604,b0635,1902,FALSE
YP_003043826.1,ECB_00605,b0636,468,FALSE
YP_003043827.1,ECB_00606,b0637,318,FALSE
YP_003043828.1,ECB_00607,b0638,612,FALSE
YP_003043829.1,ECB_00608,b0639,642,FALSE
YP_003043830.1,ECB_00609,b0640,1032,FALSE
YP_003043831.1,ECB_00610,b0641,582,FALSE
YP_003043832.1,ECB_00611,b0642,2583,FALSE
YP_003043833.1,ECB_00612,b0643,483,FALSE
YP_003043834.1,ECB_00614,b0645,708,FALSE
YP_003043835.1,ECB_00615,b0649,1140,FALSE
YP_003043836.1,ECB_00616,b0650,1671,FALSE
YP_003043837.1,ECB_00617,b0651,936,FALSE
YP_003043838.1,ECB_00619,NA,522,FALSE
YP_003043839.1,ECB_00620,NA,852,FALSE
YP_003043840.1,ECB_00621,b0653,675,FALSE
YP_003043841.1,ECB_00622,b0654,741,FALSE
YP_003043842.1,ECB_00623,b0655,909,FALSE
YP_003043843.1,ECB_00624,NA,1878,FALSE
YP_003043844.1,ECB_00625,b0657,1539,TRUE
YP_003043845.1,ECB_00626,b0658,879,TRUE
YP_003043846.1,ECB_00627,b0659,468,TRUE
YP_003043847.1,ECB_00628,b0660,1080,TRUE
YP_003043848.1,ECB_00629,b0661,1425,TRUE
YP_003043849.1,ECB_00630,b0662,1176,TRUE
YP_003043850.1,ECB_00631,b0674,1665,TRUE
YP_003043851.1,ECB_00632,b0675,753,TRUE
YP_003043852.1,ECB_00633,b0676,1221,TRUE
YP_003043853.1,ECB_00634,b0677,1149,TRUE
YP_003043854.1,ECB_00635,b0678,801,TRUE
YP_003043855.1,ECB_00636,b0679,1947,TRUE
YP_003043856.1,ECB_00637,b0680,1665,TRUE
YP_003043857.1,ECB_00638,b0681,1407,FALSE
YP_003043858.1,ECB_00639,b0682,327,FALSE
YP_003043859.1,ECB_00640,b0683,447,TRUE
YP_003043860.1,ECB_00641,b0684,531,TRUE
YP_003043861.1,ECB_00642,b0685,294,TRUE
YP_003043862.1,ECB_00643,b0686,765,TRUE
YP_003043863.1,ECB_00644,b0687,546,TRUE
YP_003043864.1,ECB_00645,b0688,1641,TRUE
YP_003043865.1,ECB_00646,b0689,495,FALSE
YP_003043866.1,ECB_00647,b0690-b0691,651,FALSE
YP_003043867.1,ECB_00648,b0692,1320,FALSE
YP_003043868.1,ECB_00649,b0693,2199,FALSE
YP_003043869.1,ECB_00650,NA,258,FALSE
YP_003043870.1,ECB_00651,b0694,678,TRUE
YP_003043871.1,ECB_00652,b0695,2688,FALSE
YP_003043872.1,ECB_00653,b0696,573,FALSE
YP_003043873.1,ECB_00654,b0697,2049,TRUE
YP_003043874.1,ECB_00655,b0698,1674,FALSE
YP_003043875.1,ECB_00656,b4513,90,FALSE
YP_003043876.1,ECB_00657,b0699,207,FALSE
YP_003043877.1,ECB_00658,b0700,1665,FALSE
YP_003043878.1,ECB_00659,b0702,327,FALSE
YP_003043879.1,ECB_00660,b0703,1434,FALSE
YP_003043880.1,ECB_00661,b0704,570,FALSE
YP_003043881.1,ECB_00662,NA,276,FALSE
YP_003043882.1,ECB_00663,NA,279,FALSE
YP_003043883.1,ECB_00664,NA,243,FALSE
YP_003043884.1,ECB_00666,b0706,762,FALSE
YP_003043885.1,ECB_00667,b0707,510,TRUE
YP_003043886.1,ECB_00668,b0708,1422,TRUE
YP_003043887.1,ECB_00669,b0709,1482,TRUE
YP_003043888.1,ECB_00670,b0710,744,TRUE
YP_003043889.1,ECB_00671,b0711,657,TRUE
YP_003043890.1,ECB_00672,b0712,933,TRUE
YP_003043891.1,ECB_00673,b0713,735,FALSE
YP_003043892.1,ECB_00674,b0714,792,FALSE
YP_003043893.1,ECB_00675,b0715,1047,FALSE
YP_003043894.1,ECB_00676,b0716,1062,FALSE
YP_003043895.1,ECB_00677,b0717,732,FALSE
YP_003043896.1,ECB_00678,b0718,2451,FALSE
YP_003043897.1,ECB_00679,b0719,567,FALSE
YP_003043898.1,ECB_00680,b0720,1284,TRUE
YP_003043899.1,ECB_00681,b0721,390,TRUE
YP_003043900.1,ECB_00682,b0722,348,TRUE
YP_003043901.1,ECB_00683,b0723,1767,TRUE
YP_003043902.1,ECB_00684,b0724,717,TRUE
YP_003043903.1,ECB_00685,b0726,2802,FALSE
YP_003043904.1,ECB_00686,b0727,1218,TRUE
YP_003043905.1,ECB_00687,b0728,1167,TRUE
YP_003043906.1,ECB_00688,b0729,870,TRUE
YP_003043907.1,ECB_00689,b0730,723,FALSE
YP_003043908.1,ECB_00690,b0731,1977,FALSE
YP_003043909.1,ECB_00691,b0732,2634,FALSE
YP_003043910.1,ECB_00692,b0733,1569,FALSE
YP_003043911.1,ECB_00693,b0734,1140,FALSE
YP_003043912.1,ECB_00694,b4515,114,FALSE
YP_003043913.1,ECB_00695,b0735,294,FALSE
YP_003043914.1,ECB_00696,b0736,405,TRUE
YP_003043915.1,ECB_00697,b0737,693,TRUE
YP_003043916.1,ECB_00698,b0738,429,TRUE
YP_003043917.1,ECB_00699,b0739,1266,FALSE
YP_003043918.1,ECB_00700,b0740,1293,FALSE
YP_003043919.1,ECB_00701,b0741,522,TRUE
YP_003043920.1,ECB_00702,b0742,792,TRUE
YP_003043921.1,ECB_00703,b0750,1044,TRUE
YP_003043922.1,ECB_00704,b0751,720,TRUE
YP_003043923.1,ECB_00705,b0752,942,FALSE
YP_003043924.1,ECB_00706,b0753,381,TRUE
YP_003043925.1,ECB_00707,b0754,1053,TRUE
YP_003043926.1,ECB_00708,b0755,753,TRUE
YP_003043927.1,ECB_00709,b0756,1041,FALSE
YP_003043928.1,ECB_00710,b0757,1149,FALSE
YP_003043929.1,ECB_00711,b0758,1047,FALSE
YP_003043930.1,ECB_00712,b0759,1017,FALSE
YP_003043931.1,ECB_00713,b0760,1473,FALSE
YP_003043932.1,ECB_00714,b0761,789,FALSE
YP_003043933.1,ECB_00715,b0762,150,FALSE
YP_003043934.1,ECB_00716,b0763,774,FALSE
YP_003043935.1,ECB_00717,b0764,690,FALSE
YP_003043936.1,ECB_00718,b0765,1059,FALSE
YP_003043937.1,ECB_00719,b0766,819,FALSE
YP_003043938.1,ECB_00720,b0767,996,FALSE
YP_003043939.1,ECB_00721,b0768,1017,FALSE
YP_003043940.1,ECB_00722,b0769,1053,FALSE
YP_003043941.1,ECB_00723,b0770,1434,FALSE
YP_003043942.1,ECB_00724,b0771,2262,FALSE
YP_003043943.1,ECB_00725,b0772,1284,TRUE
YP_003043944.1,ECB_00726,NA,1071,FALSE
YP_003043945.1,ECB_00727,NA,285,FALSE
YP_003043946.1,ECB_00728,NA,339,FALSE
YP_003043947.1,ECB_00729,NA,372,FALSE
YP_003043948.1,ECB_00730,NA,345,FALSE
YP_003043949.1,ECB_00731,NA,186,FALSE
YP_003043950.1,ECB_00732,NA,552,FALSE
YP_003043951.1,ECB_00733,NA,1623,FALSE
YP_003043952.1,ECB_00734,NA,762,FALSE
YP_003043953.1,ECB_00735,NA,459,FALSE
YP_003043954.1,ECB_00736,NA,399,FALSE
YP_003043955.1,ECB_00737,NA,993,FALSE
YP_003043956.1,ECB_00738,NA,1338,FALSE
YP_003043957.1,ECB_00739,NA,1146,FALSE
YP_003043958.1,ECB_00740,b0773,477,TRUE
YP_003043959.1,ECB_00741,b0774,1290,TRUE
YP_003043960.1,ECB_00742,b0775,1041,TRUE
YP_003043961.1,ECB_00743,b0776,1155,TRUE
YP_003043962.1,ECB_00744,b0777,756,FALSE
YP_003043963.1,ECB_00745,b0778,678,TRUE
YP_003043964.1,ECB_00746,b0779,2022,TRUE
YP_003043965.1,ECB_00747,b0780,909,TRUE
YP_003043966.1,ECB_00748,b0781,990,TRUE
YP_003043967.1,ECB_00749,b0782,513,TRUE
YP_003043968.1,ECB_00750,b0783,486,TRUE
YP_003043969.1,ECB_00751,b0784,246,FALSE
YP_003043970.1,ECB_00752,b0785,453,TRUE
YP_003043971.1,ECB_00753,b0786,705,TRUE
YP_003043972.1,ECB_00754,b0787,714,FALSE
YP_003043973.1,ECB_00755,b0788,957,TRUE
YP_003043974.1,ECB_00756,b0789,1242,TRUE
YP_003043975.1,ECB_00757,b0790,762,TRUE
YP_003043976.1,ECB_00758,b0791,411,FALSE
YP_003043977.1,ECB_00759,b0792,1107,FALSE
YP_003043978.1,ECB_00760,b0793,1134,TRUE
YP_003043979.1,ECB_00761,b0794,1737,TRUE
YP_003043980.1,ECB_00762,b0795,999,TRUE
YP_003043981.1,ECB_00763,b0796,672,TRUE
YP_003043982.1,ECB_00764,b0797,1365,FALSE
YP_003043983.1,ECB_00765,b0798,483,FALSE
YP_003043984.1,ECB_00766,b0799,2151,TRUE
YP_003043985.1,ECB_00767,b0800,963,TRUE
YP_003043986.1,ECB_00768,b0801,1086,TRUE
YP_003043987.1,ECB_00769,b0802,261,FALSE
YP_003043988.1,ECB_00770,b0803,267,FALSE
YP_003043989.1,ECB_00771,b0804,678,TRUE
YP_003043990.1,ECB_00772,b0805,2283,FALSE
YP_003043991.1,ECB_00773,b0806,261,TRUE
YP_003043992.1,ECB_00774,b0807,927,TRUE
YP_003043993.1,ECB_00775,b0808,2226,TRUE
YP_003043994.1,ECB_00776,b0809,723,TRUE
YP_003043995.1,ECB_00777,b0810,660,TRUE
YP_003043996.1,ECB_00778,b0811,747,TRUE
YP_003043997.1,ECB_00779,b0812,504,TRUE
YP_003043998.1,ECB_00780,b0813,888,FALSE
YP_003043999.1,ECB_00781,b0814,516,TRUE
YP_003044000.1,ECB_00782,b0815,1584,TRUE
YP_003044001.1,ECB_00783,b0816,270,FALSE
YP_003044002.1,ECB_00784,b0817,468,TRUE
YP_003044003.1,ECB_00785,b0818,1119,TRUE
YP_003044004.1,ECB_00786,b0819,921,FALSE
YP_003044005.1,ECB_00787,b0820,1593,TRUE
YP_003044006.1,ECB_00788,b0821,1266,FALSE
YP_003044007.1,ECB_00789,b0822,816,TRUE
YP_003044008.1,ECB_00790,b0823,2433,FALSE
YP_003044009.1,ECB_00791,b0824,927,TRUE
YP_003044010.1,ECB_00792,b0825,663,TRUE
YP_003044011.1,ECB_00793,b0826,750,TRUE
YP_003044012.1,ECB_00794,b0827,1236,TRUE
YP_003044013.1,ECB_00795,b0828,966,FALSE
YP_003044014.1,ECB_00796,b0829,1839,TRUE
YP_003044015.1,ECB_00797,b0830,1482,FALSE
YP_003044016.1,ECB_00798,b0831,921,TRUE
YP_003044017.1,ECB_00799,b0832,912,TRUE
YP_003044018.1,ECB_00800,b0833,2097,FALSE
YP_003044019.1,ECB_00801,b0834,1329,TRUE
YP_003044020.1,ECB_00802,b0835,1326,TRUE
YP_003044021.1,ECB_00803,b0836,384,FALSE
YP_003044022.1,ECB_00804,b0837,1116,FALSE
YP_003044023.1,ECB_00805,b0838,627,TRUE
YP_003044024.1,ECB_00806,b0839,1203,TRUE
YP_003044025.1,ECB_00807,b0840,759,TRUE
YP_003044026.1,ECB_00808,b0841,597,TRUE
YP_003044027.1,ECB_00809,b0842,1233,TRUE
YP_003044028.1,ECB_00810,b0843,285,FALSE
YP_003044029.1,ECB_00811,b0844,816,TRUE
YP_003044030.1,ECB_00812,b0845,1209,FALSE
YP_003044031.1,ECB_00813,b0846,537,TRUE
YP_003044032.1,ECB_00814,NA,333,FALSE
YP_003044033.1,ECB_00815,NA,945,FALSE
YP_003044034.1,ECB_00816,NA,153,FALSE
YP_003044035.1,ECB_00817,NA,564,FALSE
YP_003044036.1,ECB_00818,NA,222,FALSE
YP_003044037.1,ECB_00819,NA,510,FALSE
YP_003044038.1,ECB_00820,NA,240,FALSE
YP_003044039.1,ECB_00821,NA,342,FALSE
YP_003044040.1,ECB_00822,NA,234,FALSE
YP_003044041.1,ECB_00823,NA,228,FALSE
YP_003044042.1,ECB_00824,NA,858,FALSE
YP_003044043.1,ECB_00825,NA,2415,FALSE
YP_003044044.1,ECB_00826,NA,189,FALSE
YP_003044045.1,ECB_00827,NA,306,FALSE
YP_003044046.1,ECB_00828,NA,336,FALSE
YP_003044047.1,ECB_00829,NA,165,FALSE
YP_003044048.1,ECB_00830,NA,924,FALSE
YP_003044049.1,ECB_00831,NA,963,FALSE
YP_003044050.1,ECB_00832,NA,1029,FALSE
YP_003044051.1,ECB_00833,NA,1767,FALSE
YP_003044052.1,ECB_00834,NA,753,FALSE
YP_003044053.1,ECB_00835,NA,147,FALSE
YP_003044054.1,ECB_00836,NA,429,FALSE
YP_003044055.1,ECB_00837,NA,291,FALSE
YP_003044056.1,ECB_00838,NA,432,FALSE
YP_003044057.1,ECB_00839,NA,447,FALSE
YP_003044058.1,ECB_00840,NA,807,FALSE
YP_003044059.1,ECB_00841,NA,822,FALSE
YP_003044060.1,ECB_00842,NA,360,FALSE
YP_003044061.1,ECB_00843,NA,909,FALSE
YP_003044062.1,ECB_00844,NA,606,FALSE
YP_003044063.1,ECB_00845,NA,1623,FALSE
YP_003044064.1,ECB_00846,NA,438,FALSE
YP_003044065.1,ECB_00847,b1156,603,FALSE
YP_003044066.1,ECB_00848,NA,540,FALSE
YP_003044067.1,ECB_00849,NA,276,FALSE
YP_003044068.1,ECB_00850,NA,369,FALSE
YP_003044069.1,ECB_00851,NA,252,FALSE
YP_003044070.1,ECB_00852,b0847,1686,TRUE
YP_003044071.1,ECB_00853,b0848,378,FALSE
YP_003044072.1,ECB_00854,b0849,258,TRUE
YP_003044073.1,ECB_00855,b0850,288,TRUE
YP_003044074.1,ECB_00856,b0851,723,TRUE
YP_003044075.1,ECB_00857,b0852,903,TRUE
YP_003044076.1,ECB_00858,b0853,477,TRUE
YP_003044077.1,ECB_00859,b0854,1113,TRUE
YP_003044078.1,ECB_00860,b0855,1134,TRUE
YP_003044079.1,ECB_00861,b0856,954,FALSE
YP_003044080.1,ECB_00862,b0857,846,FALSE
YP_003044081.1,ECB_00863,b0858,489,TRUE
YP_003044082.1,ECB_00864,b0859,1128,TRUE
YP_003044083.1,ECB_00865,b0860,732,FALSE
YP_003044084.1,ECB_00866,b0861,669,TRUE
YP_003044085.1,ECB_00867,b0862,717,TRUE
YP_003044086.1,ECB_00868,b0863,732,TRUE
YP_003044087.1,ECB_00869,b0864,729,TRUE
YP_003044088.1,ECB_00870,b0865,516,FALSE
YP_003044089.1,ECB_00871,b0866,324,TRUE
YP_003044090.1,ECB_00872,b0867,831,TRUE
YP_003044091.1,ECB_00873,b0868,1014,FALSE
YP_003044092.1,ECB_00874,b0869,1431,TRUE
YP_003044093.1,ECB_00875,b0870,1002,TRUE
YP_003044094.1,ECB_00876,b0871,1719,TRUE
YP_003044095.1,ECB_00877,b0872,969,TRUE
YP_003044096.1,ECB_00878,b0873,1653,TRUE
YP_003044097.1,ECB_00879,b0874,900,TRUE
YP_003044098.1,ECB_00880,b0875,696,TRUE
YP_003044099.1,ECB_00881,b0876,1659,TRUE
YP_003044100.1,ECB_00882,b0877,993,TRUE
YP_003044101.1,ECB_00883,b0878,1116,TRUE
YP_003044102.1,ECB_00884,b0879,1947,FALSE
YP_003044103.1,ECB_00885,b0880,225,FALSE
YP_003044104.1,ECB_00886,b0881,321,TRUE
YP_003044105.1,ECB_00887,b0882,2133,FALSE
YP_003044106.1,ECB_00888,b0884,219,FALSE
YP_003044107.1,ECB_00889,b0885,705,TRUE
YP_003044108.1,ECB_00890,b0886,1722,TRUE
YP_003044109.1,ECB_00891,b0887,1767,TRUE
YP_003044110.1,ECB_00892,b0888,966,TRUE
YP_003044111.1,ECB_00893,b0889,495,TRUE
YP_003044112.1,ECB_00894,b0890,4029,TRUE
YP_003044113.1,ECB_00895,b0891,615,TRUE
YP_003044114.1,ECB_00896,b0892,1344,TRUE
YP_003044115.1,ECB_00897,b0893,1293,FALSE
YP_003044116.1,ECB_00898,b0894,2445,FALSE
YP_003044117.1,ECB_00899,b0895,618,TRUE
YP_003044118.1,ECB_00900,b0896,864,TRUE
YP_003044119.1,ECB_00901,b0897,627,FALSE
YP_003044120.1,ECB_00902,b0898,1149,TRUE
YP_003044121.1,ECB_00903,b0899,1431,FALSE
YP_003044122.1,ECB_00904,b0900,909,FALSE
YP_003044123.1,ECB_00905,b0901,591,FALSE
YP_003044124.1,ECB_00906,b0902,741,TRUE
YP_003044125.1,ECB_00907,b0903,2283,FALSE
YP_003044126.1,ECB_00908,b0904,858,TRUE
YP_003044127.1,ECB_00909,b0905,1761,TRUE
YP_003044128.1,ECB_00910,b0906,693,TRUE
YP_003044129.1,ECB_00911,b0907,1089,TRUE
YP_003044130.1,ECB_00912,b0908,1284,TRUE
YP_003044131.1,ECB_00913,b0909,765,TRUE
YP_003044132.1,ECB_00914,b0910,684,TRUE
YP_003044133.1,ECB_00915,b0911,1674,TRUE
YP_003044134.1,ECB_00916,b0912,285,FALSE
YP_003044135.1,ECB_00917,b0913,2265,FALSE
YP_003044136.1,ECB_00918,b0914,1749,TRUE
YP_003044137.1,ECB_00919,b0915,987,FALSE
YP_003044138.1,ECB_00920,b0916,1233,FALSE
YP_003044139.1,ECB_00921,b0917,183,FALSE
YP_003044140.1,ECB_00922,b0918,747,TRUE
YP_003044141.1,ECB_00923,b0919,894,TRUE
YP_003044142.1,ECB_00924,b0920,780,TRUE
YP_003044143.1,ECB_00925,b0921,786,TRUE
YP_003044144.1,ECB_00926,b0922,1323,TRUE
YP_003044145.1,ECB_00927,b0923,678,TRUE
YP_003044146.1,ECB_00928,b0924,4461,FALSE
YP_003044147.1,ECB_00929,b0925,1848,TRUE
YP_003044148.1,ECB_00930,b0926,549,TRUE
YP_003044149.1,ECB_00931,b0927,648,TRUE
YP_003044150.1,ECB_00932,b0928,1191,TRUE
YP_003044151.1,ECB_00933,b0929,1089,FALSE
YP_003044152.1,ECB_00934,b0930,1401,TRUE
YP_003044153.1,ECB_00935,b0931,1203,FALSE
YP_003044154.1,ECB_00936,b0932,2613,TRUE
YP_003044155.1,ECB_00937,b0933,768,TRUE
YP_003044156.1,ECB_00938,b0934,792,TRUE
YP_003044157.1,ECB_00939,b0935,1146,TRUE
YP_003044158.1,ECB_00940,b0936,960,FALSE
YP_003044159.1,ECB_00941,b0937,576,TRUE
YP_003044160.1,ECB_00942,b0938,540,FALSE
YP_003044161.1,ECB_00943,b0939,702,FALSE
YP_003044162.1,ECB_00944,b0940,2601,FALSE
YP_003044163.1,ECB_00945,b0941,1071,FALSE
YP_003044164.1,ECB_00946,b0942,543,FALSE
YP_003044165.1,ECB_00947,b0943,516,FALSE
YP_003044166.1,ECB_00948,b0944,711,FALSE
YP_003044167.1,ECB_00949,b0945,1011,TRUE
YP_003044168.1,ECB_00950,b0946,543,TRUE
YP_003044169.1,ECB_00951,b0947,1110,TRUE
YP_003044170.1,ECB_00952,b0948,2109,TRUE
YP_003044171.1,ECB_00953,b0949,1908,TRUE
YP_003044172.1,ECB_00954,b0950,1254,TRUE
YP_003044173.1,ECB_00955,b0951,1641,TRUE
YP_003044174.1,ECB_00956,b0952,549,TRUE
YP_003044175.1,ECB_00957,b0953,168,FALSE
YP_003044176.1,ECB_00958,b0954,519,TRUE
YP_003044177.1,ECB_00959,b0955,1761,TRUE
YP_003044178.1,ECB_00960,b0956,453,TRUE
YP_003044179.1,ECB_00961,b0957,1041,TRUE
YP_003044180.1,ECB_00962,b0958,510,FALSE
YP_003044181.1,ECB_00963,b0959,630,FALSE
YP_003044182.1,ECB_00964,b0960,2154,TRUE
YP_003044183.1,ECB_00965,b0961,447,TRUE
YP_003044184.1,ECB_00966,b0962,2055,TRUE
YP_003044185.1,ECB_00967,b0963,459,FALSE
YP_003044186.1,ECB_00968,b0964,663,FALSE
YP_003044187.1,ECB_00969,b0965,414,TRUE
YP_003044188.1,ECB_00970,b0966,318,TRUE
YP_003044189.1,ECB_00971,b0967,1104,TRUE
YP_003044190.1,ECB_00972,b0968,279,FALSE
YP_003044191.1,ECB_00973,b0969,330,TRUE
YP_003044192.1,ECB_00974,b0970,660,TRUE
YP_003044193.1,ECB_00975,b0972,1119,TRUE
YP_003044194.1,ECB_00976,b0973,1794,FALSE
YP_003044195.1,ECB_00977,b0974,708,TRUE
YP_003044196.1,ECB_00978,b0975,588,TRUE
YP_003044197.1,ECB_00979,b0976,399,TRUE
YP_003044198.1,ECB_00980,b0977,858,TRUE
YP_003044199.1,ECB_00981,b0978,1545,FALSE
YP_003044200.1,ECB_00982,b0979,1137,TRUE
YP_003044201.1,ECB_00983,b0980,1299,TRUE
YP_003044202.1,ECB_00984,b0981,2181,FALSE
YP_003044203.1,ECB_00985,b0982,447,FALSE
YP_003044204.1,ECB_00986,b0983,1140,FALSE
YP_003044205.1,ECB_00987,b0984,2097,FALSE
YP_003044206.1,ECB_00988,b0985,747,FALSE
YP_003044207.1,ECB_00989,b0986,645,FALSE
YP_003044208.1,ECB_00990,b0987,306,FALSE
YP_003044209.1,ECB_00991,b0989,213,FALSE
YP_003044210.1,ECB_00992,b0990,213,FALSE
YP_003044211.1,ECB_00993,b0991,231,FALSE
YP_003044212.1,ECB_00994,b4517,174,FALSE
YP_003044213.1,ECB_00995,b0992,1074,TRUE
YP_003044214.1,ECB_00996,b0993,2745,TRUE
YP_003044215.1,ECB_00997,b0994,1029,TRUE
YP_003044216.1,ECB_00998,b0995,693,TRUE
YP_003044217.1,ECB_00999,b0996,1173,TRUE
YP_003044218.1,ECB_01000,b0997,2547,TRUE
YP_003044219.1,ECB_01001,b0998,600,TRUE
YP_003044220.1,ECB_01002,b0999,306,TRUE
YP_003044221.1,ECB_01003,b1000,921,TRUE
YP_003044222.1,ECB_01004,b1001,1260,FALSE
YP_003044223.1,ECB_01005,b1002,1242,FALSE
YP_003044224.1,ECB_01006,b1003,228,FALSE
YP_003044225.1,ECB_01007,b1004,597,FALSE
YP_003044226.1,ECB_01008,b4518,174,FALSE
YP_003044227.1,ECB_01009,b1006,1329,FALSE
YP_003044228.1,ECB_01010,b1007,495,TRUE
YP_003044229.1,ECB_01011,b1008,591,TRUE
YP_003044230.1,ECB_01012,b1009,801,TRUE
YP_003044231.1,ECB_01013,b1010,387,FALSE
YP_003044232.1,ECB_01014,b1011,693,FALSE
YP_003044233.1,ECB_01015,b1012,1149,TRUE
YP_003044234.1,ECB_01016,b1013,639,TRUE
YP_003044235.1,ECB_01017,b1014,3963,TRUE
YP_003044236.1,ECB_01018,b1015,1509,TRUE
YP_003044237.1,ECB_01019,b1016-b1017(b4490),840,FALSE
YP_003044238.1,ECB_01020,b1018,1128,TRUE
YP_003044239.1,ECB_01021,b1019,1272,TRUE
YP_003044240.1,ECB_01022,b1020,1065,FALSE
YP_003044241.1,ECB_01023,b1021,414,FALSE
YP_003044242.1,ECB_01024,b1022,1326,FALSE
YP_003044243.1,ECB_01025,b1023,2019,FALSE
YP_003044244.1,ECB_01026,b1024,2424,FALSE
YP_003044245.1,ECB_01027,b1025,1359,FALSE
YP_003044246.1,ECB_01028,NA,816,FALSE
YP_003044247.1,ECB_01029,NA,309,FALSE
YP_003044248.1,ECB_01030,b1033,939,FALSE
YP_003044249.1,ECB_01031,b1034,738,FALSE
YP_003044250.1,ECB_01032,b1035,555,FALSE
YP_003044251.1,ECB_01033,b1036,492,FALSE
YP_003044252.1,ECB_01034,b1037,834,FALSE
YP_003044253.1,ECB_01035,b1038,417,FALSE
YP_003044254.1,ECB_01036,b1039,390,FALSE
YP_003044255.1,ECB_01037,b1040,651,FALSE
