locus_tag,Protein_id,Salmonella_locus_tag,Salmonella_Protein_id
ECB_00700,YP_003043918.1,STM0748,NP_459733.1
ECB_00701,YP_003043919.1,STM0749,NP_459734.1
ECB_00702,YP_003043920.1,STM0750,NP_459735.1
ECB_00703,YP_003043921.1,STM0756,NP_459736.1
ECB_00704,YP_003043922.1,STM0757,NP_459737.1
ECB_00705,YP_003043923.1,STM0758,NP_459738.1
ECB_00706,YP_003043924.1,STM0759,NP_459739.1
ECB_00707,YP_003043925.1,STM0760,NP_459740.1
ECB_00708,YP_003043926.1,STM0772,NP_459751.1
ECB_00709,YP_003043927.1,STM0773,NP_459752.1
ECB_00710,YP_003043928.1,STM0774,NP_459753.1
ECB_00711,YP_003043929.1,STM0775,NP_459754.1
ECB_00712,YP_003043930.1,STM0776,NP_459755.1
ECB_00713,YP_003043931.1,STM0778,NP_459757.1
ECB_00714,YP_003043932.1,STM0779,NP_459758.1
ECB_00716,YP_003043934.1,STM0781,NP_459760.1
ECB_00717,YP_003043935.1,STM0782,NP_459761.1
ECB_00718,YP_003043936.1,STM0783,NP_459762.1
ECB_00719,YP_003043937.1,STM0784,NP_459763.1
ECB_00720,YP_003043938.1,STM0785,NP_459764.1
ECB_00725,YP_003043943.1,STM0786,NP_459765.1
ECB_00740,YP_003043958.1,STM0792,NP_459770.1
ECB_00741,YP_003043959.1,STM0793,NP_459771.1
ECB_00742,YP_003043960.1,STM0794,NP_459772.1
ECB_00743,YP_003043961.1,STM0795,NP_459773.1
ECB_00744,YP_003043962.1,STM0796,NP_459774.1
ECB_00745,YP_003043963.1,STM0797,NP_459775.1
ECB_00746,YP_003043964.1,STM0798,NP_459776.1
ECB_00747,YP_003043965.1,STM0801,NP_459779.1
ECB_00748,YP_003043966.1,STM0802,NP_459780.1
ECB_00749,YP_003043967.1,STM0803,NP_459781.1
ECB_00750,YP_003043968.1,STM0804,NP_459782.1
ECB_00751,YP_003043969.1,STM0805,NP_459783.2
ECB_00752,YP_003043970.1,STM0806,NP_459784.1
ECB_00753,YP_003043971.1,STM0807,NP_459785.1
ECB_00754,YP_003043972.1,STM0808,NP_459786.1
ECB_00755,YP_003043973.1,STM0811,NP_459789.1
ECB_00756,YP_003043974.1,STM0812,NP_459790.1
ECB_00757,YP_003043975.1,STM0813,NP_459791.1
ECB_00758,YP_003043976.1,STM0814,NP_459792.1
ECB_00759,YP_003043977.1,STM0815,NP_459793.1
ECB_00760,YP_003043978.1,STM0816,NP_459794.1
ECB_00761,YP_003043979.1,STM0817,NP_459795.1
ECB_00762,YP_003043980.1,STM0818,NP_459796.1
ECB_00763,YP_003043981.1,STM0819,NP_459797.1
ECB_00764,YP_003043982.1,STM0820,NP_459798.1
ECB_00766,YP_003043984.1,STM0821,NP_459799.1
ECB_00767,YP_003043985.1,STM0822,NP_459800.1
ECB_00769,YP_003043987.1,STM0823,NP_459801.1
ECB_00770,YP_003043988.1,STM0825,NP_459802.1
ECB_00774,YP_003043992.1,STM0826,NP_459803.1
ECB_00775,YP_003043993.1,STM0827,NP_459804.1
ECB_00776,YP_003043994.1,STM0828,NP_459805.1
ECB_00777,YP_003043995.1,STM0829,NP_459806.1
ECB_00778,YP_003043996.1,STM0830,NP_459807.1
ECB_00779,YP_003043997.1,STM0831,NP_459808.1
ECB_00780,YP_003043998.1,STM0832,NP_459809.1
ECB_00781,YP_003043999.1,STM0833,NP_459810.1
ECB_00782,YP_003044000.1,STM0834,NP_459811.1
ECB_00784,YP_003044002.1,STM0835,NP_459812.1
ECB_00785,YP_003044003.1,STM0836,NP_459813.1
ECB_00786,YP_003044004.1,STM0837,NP_459814.1
ECB_00787,YP_003044005.1,STM0838,NP_459815.1
ECB_00788,YP_003044006.1,STM0841,NP_459818.1
ECB_00790,YP_003044008.1,STM0843,NP_459820.1
ECB_00791,YP_003044009.1,STM0844,NP_459821.1
ECB_00793,YP_003044011.1,STM0845,NP_459822.1
ECB_00794,YP_003044012.1,STM0846,NP_459823.2
ECB_00795,YP_003044013.1,STM0847,NP_459824.1
ECB_00796,YP_003044014.1,STM0848,NP_459825.1
ECB_00797,YP_003044015.1,STM0849,NP_459826.1
ECB_00798,YP_003044016.1,STM0850,NP_459827.1
ECB_00799,YP_003044017.1,STM0851,NP_459828.1
ECB_00802,YP_003044020.1,STM0852,NP_459829.1
ECB_00803,YP_003044021.1,STM0853,NP_459830.1
ECB_00805,YP_003044023.1,STM0862,NP_459839.1
ECB_00806,YP_003044024.1,STM0863,NP_459840.1
ECB_00807,YP_003044025.1,STM0864,NP_459841.1
ECB_00808,YP_003044026.1,STM0865,NP_459842.1
ECB_00809,YP_003044027.1,STM0866,NP_459843.1
ECB_00811,YP_003044029.1,STM0867,NP_459844.1
ECB_00812,YP_003044030.1,STM0868,NP_459845.1
ECB_00813,YP_003044031.1,STM0869,NP_459846.1
ECB_00814,YP_003044032.1,STM3752,NP_462651.1
ECB_00815,YP_003044033.1,STM2739,NP_461666.1
ECB_00821,YP_003044039.1,STM2733,NP_461660.1
ECB_00823,YP_003044041.1,STM2731,NP_461658.1
ECB_00824,YP_003044042.1,STM2730,NP_461657.1
ECB_00825,YP_003044043.1,STM2729,NP_461656.1
ECB_00826,YP_003044044.1,STM2728,NP_461655.1
ECB_00827,YP_003044045.1,STM2727,NP_461654.1
ECB_00832,YP_003044050.1,STM2723,NP_461651.1
ECB_00834,YP_003044052.1,STM2721,NP_461649.1
ECB_00836,YP_003044054.1,STM2714,NP_461642.1
ECB_00837,YP_003044055.1,STM2713,NP_461641.1
ECB_00839,YP_003044057.1,STM2711,NP_461639.1
ECB_00844,YP_003044062.1,STM2707,NP_461635.1
ECB_00846,YP_003044064.1,STM2233,NP_461176.1
ECB_00851,YP_003044069.1,STM2694,NP_461622.1
ECB_00852,YP_003044070.1,STM0870,NP_459847.1
ECB_00853,YP_003044071.1,STM0871,NP_459848.1
ECB_00854,YP_003044072.1,STM0872,NP_459849.1
ECB_00855,YP_003044073.1,STM0873,NP_459850.1
ECB_00856,YP_003044074.1,STM0874,NP_459851.1
ECB_00857,YP_003044075.1,STM0875,NP_459852.1
ECB_00858,YP_003044076.1,STM0876,NP_459853.1
ECB_00859,YP_003044077.1,STM0877,NP_459854.1
ECB_00860,YP_003044078.1,STM0878,NP_459855.1
ECB_00861,YP_003044079.1,STM0879,NP_459856.1
ECB_00862,YP_003044080.1,STM0880,NP_459857.1
ECB_00863,YP_003044081.1,STM0881,NP_459858.1
ECB_00864,YP_003044082.1,STM0882,NP_459859.1
ECB_00865,YP_003044083.1,STM0887,NP_459863.1
ECB_00866,YP_003044084.1,STM0888,NP_459864.1
ECB_00867,YP_003044085.1,STM0889,NP_459865.1
ECB_00868,YP_003044086.1,STM0890,NP_459866.1
ECB_00869,YP_003044087.1,STM0891,NP_459867.1
ECB_00870,YP_003044088.1,STM0892,NP_459868.1
ECB_00871,YP_003044089.1,STM0930,NP_459907.1
ECB_00872,YP_003044090.1,STM0931,NP_459908.1
ECB_00873,YP_003044091.1,STM0932,NP_459909.1
ECB_00874,YP_003044092.1,STM0933,NP_459910.1
ECB_00875,YP_003044093.1,STM0934,NP_459911.1
ECB_00876,YP_003044094.1,STM0935,NP_459912.1
ECB_00877,YP_003044095.1,STM0936,NP_459913.1
ECB_00878,YP_003044096.1,STM0937,NP_459914.1
ECB_00879,YP_003044097.1,STM0938,NP_459915.1
ECB_00881,YP_003044099.1,STM0939,NP_459916.1
ECB_00882,YP_003044100.1,STM0940,NP_459917.1
ECB_00883,YP_003044101.1,STM0941,NP_459918.1
ECB_00884,YP_003044102.1,STM0942,NP_459919.1
ECB_00885,YP_003044103.1,STM0943,NP_459920.1
ECB_00886,YP_003044104.1,STM0944,NP_459921.1
ECB_00887,YP_003044105.1,STM0945,NP_459922.1
ECB_00888,YP_003044106.1,STM0953,NP_459929.1
ECB_00889,YP_003044107.1,STM0955,NP_459931.1
ECB_00890,YP_003044108.1,STM0956,NP_459932.1
ECB_00891,YP_003044109.1,STM0957,NP_459933.1
ECB_00892,YP_003044110.1,STM0958,NP_459934.1
ECB_00893,YP_003044111.1,STM0959,NP_459935.1
ECB_00894,YP_003044112.1,STM0960,NP_459936.1
ECB_00895,YP_003044113.1,STM0961,NP_459937.1
ECB_00896,YP_003044114.1,STM0962,NP_459938.1
ECB_00897,YP_003044115.1,STM0963,NP_459939.1
ECB_00900,YP_003044118.1,STM0966,NP_459942.1
ECB_00902,YP_003044120.1,STM0968,NP_459943.1
ECB_00903,YP_003044121.1,STM0969,NP_459944.1
ECB_00906,YP_003044124.1,STM0970,NP_459945.2
ECB_00908,YP_003044126.1,STM0974,NP_459949.1
ECB_00909,YP_003044127.1,STM0975,NP_459950.1
ECB_00910,YP_003044128.1,STM0976,NP_459951.1
ECB_00911,YP_003044129.1,STM0977,NP_459952.1
ECB_00912,YP_003044130.1,STM0978,NP_459953.1
ECB_00913,YP_003044131.1,STM0979,NP_459954.1
ECB_00914,YP_003044132.1,STM0980,NP_459955.1
ECB_00915,YP_003044133.1,STM0981,NP_459956.1
ECB_00916,YP_003044134.1,STM0982,NP_459957.1
ECB_00917,YP_003044135.1,STM0983,NP_459958.1
ECB_00918,YP_003044136.1,STM0984,NP_459959.1
ECB_00919,YP_003044137.1,STM0985,NP_459960.1
ECB_00920,YP_003044138.1,STM0986,NP_459961.1
ECB_00921,YP_003044139.1,STM0987,NP_459962.1
ECB_00922,YP_003044140.1,STM0988,NP_459963.1
ECB_00923,YP_003044141.1,STM0989,NP_459964.1
ECB_00924,YP_003044142.1,STM0990,NP_459965.1
ECB_00925,YP_003044143.1,STM0991,NP_459966.1
ECB_00926,YP_003044144.1,STM0992,NP_459967.1
ECB_00927,YP_003044145.1,STM0993,NP_459968.1
ECB_00928,YP_003044146.1,STM0994,NP_459969.1
ECB_00929,YP_003044147.1,STM0995,NP_459970.1
ECB_00930,YP_003044148.1,STM0996,NP_459971.1
ECB_00931,YP_003044149.1,STM0997,NP_459972.1
ECB_00932,YP_003044150.1,STM0998,NP_459973.1
ECB_00934,YP_003044152.1,STM1000,NP_459975.1
ECB_00935,YP_003044153.1,STM1004,NP_459979.1
ECB_00936,YP_003044154.1,STM1057,NP_460031.1
ECB_00946,YP_003044164.1,STM0025,NP_459030.1
ECB_00947,YP_003044165.1,STM0026,NP_459031.1
ECB_00948,YP_003044166.1,STM0027,NP_459032.1
ECB_00949,YP_003044167.1,STM1058,NP_460032.1
ECB_00950,YP_003044168.1,STM1059,NP_460033.1
ECB_00951,YP_003044169.1,STM1060,NP_460034.1
ECB_00952,YP_003044170.1,STM1061,NP_460035.1
ECB_00953,YP_003044171.1,STM1062,NP_460036.1
ECB_00954,YP_003044172.1,STM1063,NP_460037.1
ECB_00955,YP_003044173.1,STM1064,NP_460038.1
ECB_00956,YP_003044174.1,STM1065,NP_460039.1
ECB_00957,YP_003044175.1,STM1066,NP_460040.1
ECB_00958,YP_003044176.1,STM1067,NP_460041.1
ECB_00959,YP_003044177.1,STM1068,NP_460042.1
ECB_00960,YP_003044178.1,STM1069,NP_460043.1
ECB_00961,YP_003044179.1,STM1070,NP_460044.1
ECB_00962,YP_003044180.1,STM1071,NP_460045.1
ECB_00963,YP_003044181.1,STM1072,NP_460046.1
ECB_00964,YP_003044182.1,STM1073,NP_460047.1
ECB_00965,YP_003044183.1,STM1074,NP_460048.1
ECB_00966,YP_003044184.1,STM1075,NP_460049.1
ECB_00967,YP_003044185.1,STM1076,NP_460050.1
ECB_00968,YP_003044186.1,STM1077,NP_460051.1
ECB_00969,YP_003044187.1,STM1078,NP_460052.1
ECB_00970,YP_003044188.1,STM1079,NP_460053.1
ECB_00971,YP_003044189.1,STM1080,NP_460054.1
ECB_00972,YP_003044190.1,STM1083,NP_460057.1
ECB_00973,YP_003044191.1,STM1084,NP_460058.1
ECB_00974,YP_003044192.1,STM1085,NP_460059.1
ECB_00975,YP_003044193.1,STM1786,NP_460742.1
ECB_00977,YP_003044195.1,STM1788,NP_460744.1
ECB_00978,YP_003044196.1,STM1789,NP_460745.1
ECB_00979,YP_003044197.1,STM1790,NP_460746.1
ECB_00980,YP_003044198.1,STM1791,NP_460747.1
ECB_00982,YP_003044200.1,STM1793,NP_460749.1
ECB_00991,YP_003044209.1,STM1243,NP_460213.1
ECB_00996,YP_003044214.1,STM3826,NP_462726.1
ECB_00997,YP_003044215.1,STM3825,NP_462725.1
ECB_00998,YP_003044216.1,STM3824,NP_462724.1
ECB_00999,YP_003044217.1,STM3823,NP_462723.1
ECB_01000,YP_003044218.1,STM3822,NP_462722.1
ECB_01001,YP_003044219.1,STM3821,NP_462721.1
ECB_01002,YP_003044220.1,STM1111,NP_460084.1
ECB_01003,YP_003044221.1,STM1112,NP_460085.1
ECB_01005,YP_003044223.1,STM1117,NP_460090.1
ECB_01006,YP_003044224.1,STM1118,NP_460091.1
ECB_01007,YP_003044225.1,STM1119,NP_460092.1
ECB_01016,YP_003044234.1,STM1122,NP_460094.1
ECB_01018,YP_003044236.1,STM1125,NP_460097.1
ECB_01030,YP_003044248.1,STM1135,NP_460106.1
ECB_01031,YP_003044249.1,STM1136,NP_460107.1
ECB_01032,YP_003044250.1,STM1137,NP_460108.1
ECB_01033,YP_003044251.1,STM1138,NP_460109.1
ECB_01034,YP_003044252.1,STM1139,NP_460110.1
ECB_01035,YP_003044253.1,STM1140,NP_460111.1
ECB_01036,YP_003044254.1,STM1141,NP_460112.1
ECB_01037,YP_003044255.1,STM1142,NP_460113.1
ECB_01038,YP_003044256.1,STM1143,NP_460114.1
ECB_01039,YP_003044257.1,STM1144,NP_460115.1
ECB_01040,YP_003044258.1,STM1145,NP_460116.1
ECB_01041,YP_003044259.1,STM1146,NP_460117.1
ECB_01042,YP_003044260.1,STM1147,NP_460118.1
ECB_01044,YP_003044262.1,STM1149,NP_460120.1
ECB_01045,YP_003044263.1,STM1150,NP_460121.1
ECB_01046,YP_003044264.1,STM1151,NP_460122.1
ECB_01047,YP_003044265.1,STM1152,NP_460123.1
ECB_01048,YP_003044266.1,STM1153,NP_460124.1
ECB_01049,YP_003044267.1,STM1154,NP_460125.1
ECB_01050,YP_003044268.1,STM1155,NP_460126.1
ECB_01051,YP_003044269.1,STM1156,NP_460127.1
ECB_01052,YP_003044270.1,STM1157,NP_460128.1
ECB_01053,YP_003044271.1,STM1158,NP_460129.1
ECB_01055,YP_003044273.1,STM1160,NP_460131.1
ECB_01057,YP_003044275.1,STM1162,NP_460133.1
ECB_01058,YP_003044276.1,STM1163,NP_460134.1
ECB_01059,YP_003044277.1,STM1164,NP_460135.1
ECB_01060,YP_003044278.1,STM1165,NP_460136.1
ECB_01061,YP_003044279.1,STM1166,NP_460137.1
ECB_01062,YP_003044280.1,STM1167,NP_460138.1
ECB_01063,YP_003044281.1,STM1168,NP_460139.1
ECB_01064,YP_003044282.1,STM1169,NP_460140.1
ECB_01065,YP_003044283.1,STM1170,NP_460141.1
ECB_01066,YP_003044284.1,STM1171,NP_460142.1
ECB_01067,YP_003044285.1,STM1172,NP_460143.1
ECB_01068,YP_003044286.1,STM1173,NP_460144.1
ECB_01069,YP_003044287.1,STM1174,NP_460145.1
ECB_01070,YP_003044288.1,STM1175,NP_460146.1
ECB_01071,YP_003044289.1,STM1176,NP_460147.1
ECB_01072,YP_003044290.1,STM1177,NP_460148.1
ECB_01073,YP_003044291.1,STM1178,NP_460149.1
ECB_01074,YP_003044292.1,STM1179,NP_460150.1
ECB_01075,YP_003044293.1,STM1180,NP_460151.1
ECB_01076,YP_003044294.1,STM1181,NP_460152.1
ECB_01077,YP_003044295.1,STM1182,NP_460153.1
ECB_01078,YP_003044296.1,STM1183,NP_460154.1
ECB_01079,YP_003044297.1,STM1184,NP_460155.1
ECB_01080,YP_003044298.1,STM1185,NP_460156.1
ECB_01082,YP_003044300.1,STM1187,NP_460157.1
ECB_01083,YP_003044301.1,STM1189,NP_460159.1
ECB_01084,YP_003044302.1,STM1190,NP_460160.1
ECB_01085,YP_003044303.1,STM1191,NP_460161.1
ECB_01086,YP_003044304.1,STM1192,NP_460162.1
ECB_01087,YP_003044305.1,STM1193,NP_460163.1
ECB_01088,YP_003044306.1,STM1194,NP_460164.1
ECB_01089,YP_003044307.1,STM1195,NP_460165.1
ECB_01090,YP_003044308.1,STM1196,NP_460166.1
ECB_01091,YP_003044309.1,STM1197,NP_460167.1
ECB_01092,YP_003044310.1,STM1198,NP_460168.1
ECB_01093,YP_003044311.1,STM1199,NP_460169.1
ECB_01094,YP_003044312.1,STM1200,NP_460170.1
ECB_01095,YP_003044313.1,STM1201,NP_460171.1
ECB_01096,YP_003044314.1,STM1202,NP_460172.1
ECB_01097,YP_003044315.1,STM1203,NP_460173.1
ECB_01098,YP_003044316.1,STM1204,NP_460174.1
ECB_01099,YP_003044317.1,STM1205,NP_460175.1
ECB_01100,YP_003044318.1,STM1206,NP_460176.1
ECB_01101,YP_003044319.1,STM1207,NP_460177.1
ECB_01102,YP_003044320.1,STM1208,NP_460178.1
ECB_01103,YP_003044321.1,STM1209,NP_460179.1
ECB_01104,YP_003044322.1,STM1210,NP_460180.1
ECB_01105,YP_003044323.1,STM1211,NP_460181.1
ECB_01106,YP_003044324.1,STM1212,NP_460182.1
ECB_01107,YP_003044325.1,STM1213,NP_460183.1
ECB_01108,YP_003044326.1,STM1214,NP_460184.1
ECB_01109,YP_003044327.1,STM1215,NP_460185.1
ECB_01110,YP_003044328.1,STM1216,NP_460186.1
ECB_01113,YP_003044331.1,STM1218,NP_460188.1
ECB_01114,YP_003044332.1,STM1219,NP_460189.1
ECB_01118,YP_003044335.1,STM1221,NP_460191.1
ECB_01121,YP_003044338.1,STM1222,NP_460192.1
ECB_01122,YP_003044339.1,STM1223,NP_460193.1
ECB_01123,YP_003044340.1,STM1225,NP_460195.1
ECB_01124,YP_003044341.1,STM1226,NP_460196.1
ECB_01125,YP_003044342.1,STM1227,NP_460197.1
ECB_01126,YP_003044343.1,STM1229,NP_460199.1
ECB_01127,YP_003044344.1,STM1230,NP_460200.1
ECB_01128,YP_003044345.1,STM1231,NP_460201.1
ECB_01129,YP_003044346.1,STM1232,NP_460202.1
ECB_01130,YP_003044347.1,STM1233,NP_460203.1
ECB_01132,YP_003044349.1,STM1235,NP_460205.1
ECB_01133,YP_003044350.1,STM1237,NP_460207.1
ECB_01134,YP_003044351.1,STM1238,NP_460208.1
ECB_01135,YP_003044352.1,STM1110,NP_460083.1
ECB_01136,YP_003044353.1,STM1856,NP_460812.1
ECB_01149,YP_003044365.1,STM1816,NP_460772.1
ECB_01150,YP_003044366.1,STM1815,NP_460771.1
ECB_01151,YP_003044367.1,STM1814,NP_460770.1
ECB_01152,YP_003044368.1,STM0905,NP_459882.1
ECB_01153,YP_003044369.1,STM2610,NP_461546.1
ECB_01154,YP_003044370.1,STM1813,NP_460769.1
ECB_01155,YP_003044371.1,STM1812,NP_460768.1
ECB_01156,YP_003044372.1,STM1811,NP_460767.2
ECB_01158,YP_003044373.1,STM1998,NP_460949.1
ECB_01159,YP_003044374.1,STM1997,NP_460948.1
ECB_01160,YP_003044375.1,STM1807,NP_460763.1
ECB_01161,YP_003044376.1,STM1806,NP_460762.1
ECB_01162,YP_003044377.1,STM1805,NP_460761.1
ECB_01164,YP_003044379.1,STM1803,NP_460759.1
ECB_01165,YP_003044380.1,STM1802,NP_460758.1
ECB_01166,YP_003044381.1,STM1801,NP_460757.1
ECB_01167,YP_003044382.1,STM1800,NP_460756.1
ECB_01168,YP_003044383.1,STM1799,NP_460755.1
ECB_01169,YP_003044384.1,STM1798,NP_460754.1
ECB_01170,YP_003044385.1,STM1797,NP_460753.1
ECB_01172,YP_003044387.1,STM1796,NP_460752.1
ECB_01178,YP_003044393.1,STM1784,NP_460740.1
ECB_01180,YP_003044395.1,STM1782,NP_460738.1
ECB_01181,YP_003044396.1,STM1781,NP_460737.2
ECB_01182,YP_003044397.1,STM1780,NP_460736.1
ECB_01183,YP_003044398.1,STM1779,NP_460735.1
ECB_01184,YP_003044399.1,STM1778,NP_460734.1
ECB_01185,YP_003044400.1,STM1777,NP_460733.1
ECB_01186,YP_003044401.1,STM1776,NP_460732.1
ECB_01187,YP_003044402.1,STM1775,NP_460731.1
ECB_01188,YP_003044403.1,STM1774,NP_460730.1
ECB_01189,YP_003044404.1,STM1773,NP_460729.1
ECB_01190,YP_003044405.1,STM1772,NP_460728.1
ECB_01194,YP_003044409.1,STM1771,NP_460727.1
ECB_01195,YP_003044410.1,STM1770,NP_460726.1
ECB_01197,YP_003044412.1,STM1769,NP_460725.1
ECB_01198,YP_003044413.1,STM1768,NP_460724.2
ECB_01199,YP_003044414.1,STM1767,NP_460723.1
ECB_01200,YP_003044415.1,STM1766,NP_460722.1
ECB_01201,YP_003044416.1,STM1765,NP_460721.1
ECB_01204,YP_003044419.1,STM1762,NP_460718.1
ECB_01205,YP_003044420.1,STM1761,NP_460717.1
ECB_01208,YP_003044421.1,STM1756,NP_460715.1
ECB_01209,YP_003044422.1,STM1755,NP_460714.1
ECB_01210,YP_003044423.1,STM1754,NP_460713.1
ECB_01211,YP_003044424.1,STM1753,NP_460712.1
ECB_01212,YP_003044425.1,STM1752,NP_460711.1
ECB_01213,YP_003044426.1,STM1751,NP_460710.1
ECB_01214,YP_003044427.1,STM1750,NP_460709.1
ECB_01215,YP_003044428.1,STM1749,NP_460708.1
ECB_01216,YP_003044429.1,STM1748,NP_460707.1
ECB_01218,YP_003044431.1,STM1745,NP_460704.1
ECB_01219,YP_003044432.1,STM1744,NP_460703.1
ECB_01220,YP_003044433.1,STM1743,NP_460702.1
ECB_01221,YP_003044434.1,STM1742,NP_460701.1
ECB_01223,YP_003044436.1,STM1739,NP_460698.1
ECB_01225,YP_003044438.1,STM1738,NP_460697.1
ECB_01226,YP_003044439.1,STM1737,NP_460696.1
ECB_01227,YP_003044440.1,STM1736,NP_460695.1
ECB_01228,YP_003044441.1,STM1735,NP_460694.1
ECB_01229,YP_003044442.1,STM1734,NP_460693.1
ECB_01230,YP_003044443.1,STM1732,NP_460691.1
ECB_01231,YP_003044444.1,STM1730,NP_460689.1
ECB_01232,YP_003044445.1,STM1729,NP_460688.1
ECB_01234,YP_003044447.1,STM1727,NP_460686.1
ECB_01235,YP_003044448.1,STM1726,NP_460685.1
ECB_01236,YP_003044449.1,STM1725,NP_460684.1
ECB_01237,YP_003044450.1,STM1724,NP_460683.1
ECB_01238,YP_003044451.1,STM1723,NP_460682.1
ECB_01240,YP_003044453.1,STM1721,NP_460680.1
ECB_01241,YP_003044454.1,STM1720,NP_460679.1
ECB_01245,YP_003044457.1,STM1719,NP_460678.1
ECB_01246,YP_003044458.1,STM1718,NP_460677.1
ECB_01247,YP_003044459.1,STM1717,NP_460676.1
ECB_01248,YP_003044460.1,STM1716,NP_460675.1
ECB_01249,YP_003044461.1,STM1715,NP_460674.1
ECB_01250,YP_003044462.1,STM1714,NP_460673.1
ECB_01251,YP_003044463.1,STM1713,NP_460672.1
ECB_01253,YP_003044464.1,STM1712,NP_460671.1
ECB_01254,YP_003044465.1,STM1711,NP_460670.1
ECB_01255,YP_003044466.1,STM1710,NP_460669.1
ECB_01256,YP_003044467.1,STM1709,NP_460668.1
ECB_01257,YP_003044468.1,STM1708,NP_460667.1
ECB_01258,YP_003044469.1,STM1707,NP_460666.1
ECB_01259,YP_003044470.1,STM1706,NP_460665.1
ECB_01260,YP_003044471.1,STM1705,NP_460664.1
ECB_01261,YP_003044472.1,STM1704,NP_460663.1
ECB_01262,YP_003044473.1,STM1703,NP_460662.1
ECB_01263,YP_003044474.1,STM1702,NP_460661.1
ECB_01264,YP_003044475.1,STM1701,NP_460660.1
ECB_01265,YP_003044476.1,STM1700,NP_460659.1
ECB_01267,YP_003044478.1,STM1696,NP_460654.1
ECB_01268,YP_003044479.1,STM1695,NP_460653.1
ECB_01269,YP_003044480.1,STM1694,NP_460652.1
ECB_01270,YP_003044481.1,STM1693,NP_460651.1
ECB_01271,YP_003044482.1,STM1692,NP_460650.1
ECB_01280,YP_003044491.1,STM1691,NP_460649.1
ECB_01281,YP_003044492.1,STM1690,NP_460648.1
ECB_01282,YP_003044493.1,STM1689,NP_460647.1
ECB_01283,YP_003044494.1,STM1688,NP_460646.1
ECB_01284,YP_003044495.1,STM1687,NP_460645.1
ECB_01285,YP_003044496.1,STM1686,NP_460644.1
ECB_01298,YP_003044509.1,STM1685,NP_460643.2
ECB_01299,YP_003044510.1,STM1684,NP_460642.1
ECB_01300,YP_003044511.1,STM1683,NP_460641.1
ECB_01301,YP_003044512.1,STM1682,NP_460640.1
ECB_01302,YP_003044513.1,STM1681,NP_460639.1
ECB_01303,YP_003044514.1,STM1680,NP_460638.1
ECB_01307,YP_003044517.1,STM1679,NP_460637.1
ECB_01308,YP_003044518.1,STM1663,NP_460622.1
ECB_01309,YP_003044519.1,STM1662,NP_460621.1
ECB_01310,YP_003044520.1,STM1661,NP_460620.1
ECB_01312,YP_003044522.1,STM1659,NP_460618.1
ECB_01317,YP_003044527.1,STM1658,NP_460617.1
ECB_01319,YP_003044529.1,STM1656,NP_460615.1
ECB_01320,YP_003044530.1,STM1655,NP_460614.1
ECB_01321,YP_003044531.1,STM1654,NP_460613.1
ECB_01347,YP_003044557.1,STM1652,NP_460611.1
ECB_01348,YP_003044558.1,STM1473,NP_460434.1
ECB_01349,YP_003044559.1,STM1651,NP_460610.1
ECB_01351,YP_003044561.1,STM1648,NP_460607.1
ECB_01352,YP_003044562.1,STM1647,NP_460606.1
ECB_01353,YP_003044563.1,STM1646,NP_460605.1
ECB_01354,YP_003044564.1,STM1645,NP_460604.1
ECB_01355,YP_003044565.1,STM1644,NP_460603.1
ECB_01367,YP_003044577.1,STM1642,NP_460601.1
ECB_01368,YP_003044578.1,STM1641,NP_460600.3
ECB_01369,YP_003044579.1,STM1640,NP_460599.1
ECB_01374,YP_003044584.1,STM1639,NP_460598.1
ECB_01378,YP_003044588.1,STM1626,NP_460585.1
ECB_01379,YP_003044589.1,STM1625,NP_460584.1
ECB_01380,YP_003044590.1,STM1624,NP_460583.1
ECB_01381,YP_003044591.1,STM1622,NP_460581.1
ECB_01384,YP_003044594.1,STM1611,NP_460570.1
ECB_01385,YP_003044595.1,STM1610,NP_460569.1
ECB_01386,YP_003044596.1,STM1609,NP_460568.1
ECB_01387,YP_003044597.1,STM1608,NP_460567.1
ECB_01388,YP_003044598.1,STM1607,NP_460566.1
ECB_01391,YP_003044600.1,STM1606,NP_460565.1
ECB_01392,YP_003044601.1,STM1605,NP_460564.1
ECB_01393,YP_003044602.1,STM1604,NP_460563.1
ECB_01394,YP_003044603.1,STM1603,NP_460562.1
ECB_01396,YP_003044605.1,STM1598,NP_460557.1
ECB_01401,YP_003044610.1,STM1597,NP_460556.2
ECB_01402,YP_003044611.1,STM1596,NP_460555.1
ECB_01403,YP_003044612.1,STM1592,NP_460551.1
ECB_01404,YP_003044613.1,STM1591,NP_460550.1
ECB_01405,YP_003044614.1,STM1590,NP_460549.1
ECB_01406,YP_003044615.1,STM1589,NP_460548.1
ECB_01407,YP_003044616.1,STM1588,NP_460547.1
ECB_01408,YP_003044617.1,STM1587,NP_460546.1
ECB_01409,YP_003044618.1,STM1586,NP_460545.1
ECB_01410,YP_003044619.1,STM1584,NP_460543.1
ECB_01421,YP_003044630.1,STM1582,NP_460541.1
ECB_01423,YP_003044631.1,STM1580,NP_460539.1
ECB_01424,YP_003044632.1,STM1579,NP_460538.1
ECB_01431,YP_003044639.1,STM1571,NP_460530.2
ECB_01433,YP_003044641.1,STM1569,NP_460528.1
ECB_01434,YP_003044642.1,STM1568,NP_460527.1
ECB_01436,YP_003044644.1,STM1567,NP_460526.1
ECB_01437,YP_003044645.1,STM1566,NP_460525.1
