lcl|NC_012967.1_cdsid_YP_003047245.1	lcl|NC_003197.1_prot_NP_463288.1_4286
lcl|NC_012967.1_cdsid_YP_003045055.1	lcl|NC_003197.1_prot_NP_460877.1_1876
lcl|NC_012967.1_cdsid_YP_003046518.1	lcl|NC_003197.1_prot_NP_462487.2_3487
lcl|NC_012967.1_cdsid_YP_003043703.1	lcl|NC_003197.1_prot_NP_459535.1_529
lcl|NC_012967.1_cdsid_YP_003045246.1	lcl|NC_003197.1_prot_NP_461102.1_2101
lcl|NC_012967.1_cdsid_YP_003047035.1	lcl|NC_003197.1_prot_NP_463021.1_4019
lcl|NC_012967.1_cdsid_YP_003045029.1	lcl|NC_003197.1_prot_NP_460852.1_1851
lcl|NC_012967.1_cdsid_YP_003045309.1	lcl|NC_003197.1_prot_NP_461170.1_2169
lcl|NC_012967.1_cdsid_YP_003046401.1	lcl|NC_003197.1_prot_NP_462377.1_3378
lcl|NC_012967.1_cdsid_YP_003047395.1	lcl|NC_003197.1_prot_NP_461998.1_2999
lcl|NC_012967.1_cdsid_YP_003043264.1	lcl|NC_003197.1_prot_NP_459056.1_52
lcl|NC_012967.1_cdsid_YP_003047217.1	lcl|NC_003197.1_prot_NP_463230.1_4229
lcl|NC_012967.1_cdsid_YP_003043232.1	lcl|NC_003197.1_prot_NP_459008.1_3
lcl|NC_012967.1_cdsid_YP_003044642.1	lcl|NC_003197.1_prot_NP_460527.1_1530
lcl|NC_012967.1_cdsid_YP_003043856.1	lcl|NC_003197.1_prot_NP_459671.1_661
lcl|NC_012967.1_cdsid_YP_003047084.1	lcl|NC_003197.1_prot_NP_463099.1_4097
lcl|NC_012967.1_cdsid_YP_003044721.1	lcl|NC_003197.1_prot_NP_460825.1_1825
lcl|NC_012967.1_cdsid_YP_003047299.1	lcl|NC_003197.1_prot_NP_463341.1_4335
lcl|NC_012967.1_cdsid_YP_003044165.1	lcl|NC_003197.1_prot_NP_459031.1_26
lcl|NC_012967.1_cdsid_YP_003047116.1	lcl|NC_003197.1_prot_NP_463145.1_4143
lcl|NC_012967.1_cdsid_YP_003044565.1	lcl|NC_003197.1_prot_NP_460603.1_1604
lcl|NC_012967.1_cdsid_YP_003045405.1	lcl|NC_003197.1_prot_NP_461270.1_2269
lcl|NC_012967.1_cdsid_YP_003044827.1	lcl|NC_003197.1_prot_NP_459255.1_251
lcl|NC_012967.1_cdsid_YP_003046392.1	lcl|NC_003197.1_prot_NP_462368.1_3369
lcl|NC_012967.1_cdsid_YP_003047154.1	lcl|NC_003197.1_prot_NP_463156.1_4154
lcl|NC_012967.1_cdsid_YP_003046338.1	lcl|NC_003197.1_prot_NP_462326.1_3327
lcl|NC_012967.1_cdsid_YP_003046448.1	lcl|NC_003197.1_prot_NP_462412.1_3413
lcl|NC_012967.1_cdsid_YP_003045545.1	lcl|NC_003197.1_prot_NP_461407.1_2408
lcl|NC_012967.1_cdsid_YP_003047157.1	lcl|NC_003197.1_prot_NP_463159.1_4157
lcl|NC_012967.1_cdsid_YP_003045886.1	lcl|NC_003197.1_prot_NP_461954.1_2954
lcl|NC_012967.1_cdsid_YP_003043422.1	lcl|NC_003197.1_prot_NP_459246.1_242
lcl|NC_012967.1_cdsid_YP_003045453.1	lcl|NC_003197.1_prot_NP_459202.1_198
lcl|NC_012967.1_cdsid_YP_003045968.1	lcl|NC_003197.1_prot_NP_462015.1_3015
lcl|NC_012967.1_cdsid_YP_003044584.1	lcl|NC_003197.1_prot_NP_460598.1_1599
lcl|NC_012967.1_cdsid_YP_003046257.1	lcl|NC_003197.1_prot_NP_462235.1_3235
lcl|NC_012967.1_cdsid_YP_003045875.1	lcl|NC_003197.1_prot_NP_461931.1_2931
lcl|NC_012967.1_cdsid_YP_003044324.1	lcl|NC_003197.1_prot_NP_460182.1_1184
lcl|NC_012967.1_cdsid_YP_003045732.1	lcl|NC_003197.1_prot_NP_461744.1_2743
lcl|NC_012967.1_cdsid_YP_003044270.1	lcl|NC_003197.1_prot_NP_460128.1_1128
lcl|NC_012967.1_cdsid_YP_003045763.1	lcl|NC_003197.1_prot_NP_461773.1_2772
lcl|NC_012967.1_cdsid_YP_003045668.1	lcl|NC_003197.1_prot_NP_461587.1_2588
lcl|NC_012967.1_cdsid_YP_003043295.1	lcl|NC_003197.1_prot_NP_459109.1_104
lcl|NC_012967.1_cdsid_YP_003046785.1	lcl|NC_003197.1_prot_NP_462753.1_3751
lcl|NC_012967.1_cdsid_YP_003044478.1	lcl|NC_003197.1_prot_NP_460654.1_1655
lcl|NC_012967.1_cdsid_YP_003047031.1	lcl|NC_003197.1_prot_NP_463017.1_4015
lcl|NC_012967.1_cdsid_YP_003045388.1	lcl|NC_003197.1_prot_NP_461255.1_2254
lcl|NC_012967.1_cdsid_YP_003047153.1	lcl|NC_003197.1_prot_NP_463155.1_4153
lcl|NC_012967.1_cdsid_YP_003044097.1	lcl|NC_003197.1_prot_NP_459915.1_911
lcl|NC_012967.1_cdsid_YP_003044683.1	lcl|NC_003197.1_prot_NP_460486.1_1488
lcl|NC_012967.1_cdsid_YP_003047399.1	lcl|NC_003197.1_prot_NP_463403.1_4398
lcl|NC_012967.1_cdsid_YP_003046206.1	lcl|NC_003197.1_prot_NP_462183.1_3183
lcl|NC_012967.1_cdsid_YP_003046846.1	lcl|NC_003197.1_prot_NP_462818.1_3816
lcl|NC_012967.1_cdsid_YP_003045180.1	lcl|NC_003197.1_prot_NP_461080.1_2078
lcl|NC_012967.1_cdsid_YP_003047358.1	lcl|NC_003197.1_prot_NP_463370.1_4365
lcl|NC_012967.1_cdsid_YP_003047171.1	lcl|NC_003197.1_prot_NP_461495.1_2494
lcl|NC_012967.1_cdsid_YP_003047283.1	lcl|NC_003197.1_prot_NP_463321.1_4316
lcl|NC_012967.1_cdsid_YP_003044303.1	lcl|NC_003197.1_prot_NP_460161.1_1163
lcl|NC_012967.1_cdsid_YP_003045733.1	lcl|NC_003197.1_prot_NP_461745.1_2744
lcl|NC_012967.1_cdsid_YP_003045421.1	lcl|NC_003197.1_prot_NP_461292.1_2292
lcl|NC_012967.1_cdsid_YP_003046256.1	lcl|NC_003197.1_prot_NP_462234.1_3234
lcl|NC_012967.1_cdsid_YP_003043816.1	lcl|NC_003197.1_prot_NP_459623.1_615
lcl|NC_012967.1_cdsid_YP_003046151.1	lcl|NC_003197.1_prot_NP_462142.1_3142
lcl|NC_012967.1_cdsid_YP_003045164.1	lcl|NC_003197.1_prot_NP_461065.1_2063
lcl|NC_012967.1_cdsid_YP_003046810.1	lcl|NC_003197.1_prot_NP_462781.1_3779
lcl|NC_012967.1_cdsid_YP_003044306.1	lcl|NC_003197.1_prot_NP_460164.1_1166
lcl|NC_012967.1_cdsid_YP_003045070.1	lcl|NC_003197.1_prot_NP_460891.1_1889
lcl|NC_012967.1_cdsid_YP_003044792.1	lcl|NC_003197.1_prot_NP_460426.1_1429
lcl|NC_012967.1_cdsid_YP_003044731.1	lcl|NC_003197.1_prot_NP_461183.1_2182
lcl|NC_012967.1_cdsid_YP_003045798.1	lcl|NC_003197.1_prot_NP_461869.1_2867
lcl|NC_012967.1_cdsid_YP_003044414.1	lcl|NC_003197.1_prot_NP_460723.1_1724
lcl|NC_012967.1_cdsid_YP_003044658.1	lcl|NC_003197.1_prot_NP_461301.1_2301
lcl|NC_012967.1_cdsid_YP_003043832.1	lcl|NC_003197.1_prot_NP_459640.1_632
lcl|NC_012967.1_cdsid_YP_003045693.1	lcl|NC_003197.1_prot_NP_461614.1_2613
lcl|NC_012967.1_cdsid_YP_003045543.1	lcl|NC_003197.1_prot_NP_461404.1_2405
lcl|NC_012967.1_cdsid_YP_003043269.1	lcl|NC_003197.1_prot_NP_459074.1_70
lcl|NC_012967.1_cdsid_YP_003046775.1	lcl|NC_003197.1_prot_NP_462751.1_3749
lcl|NC_012967.1_cdsid_YP_003047185.1	lcl|NC_003197.1_prot_NP_463196.1_4195
lcl|NC_012967.1_cdsid_YP_003043625.1	lcl|NC_003197.1_prot_NP_459455.1_449
lcl|NC_012967.1_cdsid_YP_003046641.1	lcl|NC_003197.1_prot_NP_462592.1_3592
lcl|NC_012967.1_cdsid_YP_003047379.1	lcl|NC_003197.1_prot_NP_463389.1_4384
lcl|NC_012967.1_cdsid_YP_003044454.1	lcl|NC_003197.1_prot_NP_460679.1_1681
lcl|NC_012967.1_cdsid_YP_003046065.1	lcl|NC_003197.1_prot_NP_462074.1_3074
lcl|NC_012967.1_cdsid_YP_003044825.1	lcl|NC_003197.1_prot_NP_460395.1_1398
lcl|NC_012967.1_cdsid_YP_003043943.1	lcl|NC_003197.1_prot_NP_459765.1_755
lcl|NC_012967.1_cdsid_YP_003043273.1	lcl|NC_003197.1_prot_NP_459079.1_75
lcl|NC_012967.1_cdsid_YP_003043701.1	lcl|NC_003197.1_prot_NP_459531.1_525
lcl|NC_012967.1_cdsid_YP_003044850.1	lcl|NC_003197.1_prot_NP_460337.1_1340
lcl|NC_012967.1_cdsid_YP_003046836.1	lcl|NC_003197.1_prot_NP_462808.1_3806
lcl|NC_012967.1_cdsid_YP_003045602.1	lcl|NC_003197.1_prot_NP_461467.1_2466
lcl|NC_012967.1_cdsid_YP_003045069.1	lcl|NC_003197.1_prot_NP_460890.1_1888
lcl|NC_012967.1_cdsid_YP_003044769.1	lcl|NC_003197.1_prot_NP_460442.1_1445
lcl|NC_012967.1_cdsid_YP_003045438.1	lcl|NC_003197.1_prot_NP_461313.1_2313
lcl|NC_012967.1_cdsid_YP_003043518.1	lcl|NC_003197.1_prot_NP_462244.1_3244
lcl|NC_012967.1_cdsid_YP_003047335.1	lcl|NC_003197.1_prot_NP_460571.1_1573
lcl|NC_012967.1_cdsid_YP_003047296.1	lcl|NC_003197.1_prot_NP_463339.1_4333
lcl|NC_012967.1_cdsid_YP_003043626.1	lcl|NC_003197.1_prot_NP_459456.1_450
lcl|NC_012967.1_cdsid_YP_003046908.1	lcl|NC_003197.1_prot_NP_462863.1_3861
lcl|NC_012967.1_cdsid_YP_003043693.1	lcl|NC_003197.1_prot_NP_459523.1_517
lcl|NC_012967.1_cdsid_YP_003044035.1	lcl|NC_003197.1_prot_NP_461665.1_2664
lcl|NC_012967.1_cdsid_YP_003044032.1	lcl|NC_003197.1_prot_NP_462651.1_3651
lcl|NC_012967.1_cdsid_YP_003043408.1	lcl|NC_003197.1_prot_NP_459233.1_229
lcl|NC_012967.1_cdsid_YP_003043337.1	lcl|NC_003197.1_prot_NP_459150.1_146
lcl|NC_012967.1_cdsid_YP_003044700.1	lcl|NC_003197.1_prot_NP_460472.1_1474
lcl|NC_012967.1_cdsid_YP_003047415.1	lcl|NC_003197.1_prot_NP_463421.1_4416
lcl|NC_012967.1_cdsid_YP_003046871.1	lcl|NC_003197.1_prot_NP_462839.1_3837
lcl|NC_012967.1_cdsid_YP_003047113.1	lcl|NC_003197.1_prot_NP_463142.1_4140
lcl|NC_012967.1_cdsid_YP_003044346.1	lcl|NC_003197.1_prot_NP_460202.1_1204
lcl|NC_012967.1_cdsid_YP_003046055.1	lcl|NC_003197.1_prot_NP_462061.1_3061
lcl|NC_012967.1_cdsid_YP_003045248.1	lcl|NC_003197.1_prot_NP_461104.1_2103
lcl|NC_012967.1_cdsid_YP_003044915.1	lcl|NC_003197.1_prot_NP_460269.1_1273
lcl|NC_012967.1_cdsid_YP_003047162.1	lcl|NC_003197.1_prot_NP_463164.1_4162
lcl|NC_012967.1_cdsid_YP_003046493.1	lcl|NC_003197.1_prot_NP_462469.1_3469
lcl|NC_012967.1_cdsid_YP_003045072.1	lcl|NC_003197.1_prot_NP_460893.1_1891
lcl|NC_012967.1_cdsid_YP_003046386.1	lcl|NC_003197.1_prot_NP_462361.1_3362
lcl|NC_012967.1_cdsid_YP_003046081.1	lcl|NC_003197.1_prot_NP_462091.1_3092
lcl|NC_012967.1_cdsid_YP_003044972.1	lcl|NC_003197.1_prot_NP_460774.1_1775
lcl|NC_012967.1_cdsid_YP_003047209.1	lcl|NC_003197.1_prot_NP_463222.1_4221
lcl|NC_012967.1_cdsid_YP_003043836.1	lcl|NC_003197.1_prot_NP_459651.1_641
lcl|NC_012967.1_cdsid_YP_003046900.1	lcl|NC_003197.1_prot_NP_462855.1_3853
lcl|NC_012967.1_cdsid_YP_003047284.1	lcl|NC_003197.1_prot_NP_460509.1_1510
lcl|NC_012967.1_cdsid_YP_003046878.1	lcl|NC_003197.1_prot_NP_462846.1_3844
lcl|NC_012967.1_cdsid_YP_003046787.1	lcl|NC_003197.1_prot_NP_462755.1_3753
lcl|NC_012967.1_cdsid_YP_003043627.1	lcl|NC_003197.1_prot_NP_459457.1_451
lcl|NC_012967.1_cdsid_YP_003047402.1	lcl|NC_003197.1_prot_NP_463406.1_4401
lcl|NC_012967.1_cdsid_YP_003047050.1	lcl|NC_003197.1_prot_NP_463039.1_4037
lcl|NC_012967.1_cdsid_YP_003044440.1	lcl|NC_003197.1_prot_NP_460695.1_1697
lcl|NC_012967.1_cdsid_YP_003044325.1	lcl|NC_003197.1_prot_NP_460183.1_1185
lcl|NC_012967.1_cdsid_YP_003046470.1	lcl|NC_003197.1_prot_NP_462442.1_3442
lcl|NC_012967.1_cdsid_YP_003045019.1	lcl|NC_003197.1_prot_NP_460842.1_1841
lcl|NC_012967.1_cdsid_YP_003047098.1	lcl|NC_003197.1_prot_NP_463113.1_4111
lcl|NC_012967.1_cdsid_YP_003046208.1	lcl|NC_003197.1_prot_NP_462185.1_3185
lcl|NC_012967.1_cdsid_YP_003043614.1	lcl|NC_003197.1_prot_NP_459444.1_438
lcl|NC_012967.1_cdsid_YP_003046983.1	lcl|NC_003197.1_prot_NP_462966.1_3963
lcl|NC_012967.1_cdsid_YP_003047359.1	lcl|NC_003197.1_prot_NP_463371.1_4366
lcl|NC_012967.1_cdsid_YP_003047361.1	lcl|NC_003197.1_prot_NP_463373.2_4368
lcl|NC_012967.1_cdsid_YP_003046551.1	lcl|NC_003197.1_prot_NP_462508.1_3508
lcl|NC_012967.1_cdsid_YP_003043763.1	lcl|NC_003197.1_prot_NP_459571.1_563
lcl|NC_012967.1_cdsid_YP_003044005.1	lcl|NC_003197.1_prot_NP_459815.1_804
lcl|NC_012967.1_cdsid_YP_003046611.1	lcl|NC_003197.1_prot_NP_462573.1_3573
lcl|NC_012967.1_cdsid_YP_003046162.1	lcl|NC_003197.1_prot_NP_462152.1_3152
lcl|NC_012967.1_cdsid_YP_003045400.1	lcl|NC_003197.1_prot_NP_461265.2_2264
lcl|NC_012967.1_cdsid_YP_003046732.1	lcl|NC_003197.1_prot_NP_462695.1_3694
lcl|NC_012967.1_cdsid_YP_003047045.1	lcl|NC_003197.1_prot_NP_463034.1_4032
lcl|NC_012967.1_cdsid_YP_003045981.1	lcl|NC_003197.1_prot_NP_462028.1_3028
lcl|NC_012967.1_cdsid_YP_003045261.1	lcl|NC_003197.1_prot_NP_461117.1_2116
lcl|NC_012967.1_cdsid_YP_003045397.1	lcl|NC_003197.1_prot_NP_461262.1_2261
lcl|NC_012967.1_cdsid_YP_003047184.1	lcl|NC_003197.1_prot_NP_463195.1_4194
lcl|NC_012967.1_cdsid_YP_003046962.1	lcl|NC_003197.1_prot_NP_462927.1_3924
lcl|NC_012967.1_cdsid_YP_003046790.1	lcl|NC_003197.1_prot_NP_462761.1_3759
lcl|NC_012967.1_cdsid_YP_003044274.1	lcl|NC_003197.1_prot_NP_460132.3_1132
lcl|NC_012967.1_cdsid_YP_003044262.1	lcl|NC_003197.1_prot_NP_460120.1_1120
lcl|NC_012967.1_cdsid_YP_003043846.1	lcl|NC_003197.1_prot_NP_459660.1_650
lcl|NC_012967.1_cdsid_YP_003046142.1	lcl|NC_003197.1_prot_NP_462138.1_3138
lcl|NC_012967.1_cdsid_YP_003047052.1	lcl|NC_003197.1_prot_NP_463041.1_4039
lcl|NC_012967.1_cdsid_YP_003044510.1	lcl|NC_003197.1_prot_NP_460642.1_1643
lcl|NC_012967.1_cdsid_YP_003046999.1	lcl|NC_003197.1_prot_NP_462982.1_3979
lcl|NC_012967.1_cdsid_YP_003044862.1	lcl|NC_003197.1_prot_NP_460323.2_1326
lcl|NC_012967.1_cdsid_YP_003046322.1	lcl|NC_003197.1_prot_NP_462310.1_3311
lcl|NC_012967.1_cdsid_YP_003045612.1	lcl|NC_003197.1_prot_NP_461478.1_2477
lcl|NC_012967.1_cdsid_YP_003046125.1	lcl|NC_003197.1_prot_NP_462129.1_3129
lcl|NC_012967.1_cdsid_YP_003043319.1	lcl|NC_003197.1_prot_NP_459132.1_128
lcl|NC_012967.1_cdsid_YP_003044799.1	lcl|NC_003197.1_prot_NP_460420.1_1423
lcl|NC_012967.1_cdsid_YP_003046138.1	lcl|NC_003197.1_prot_NP_462134.1_3134
lcl|NC_012967.1_cdsid_YP_003046326.1	lcl|NC_003197.1_prot_NP_462314.1_3315
lcl|NC_012967.1_cdsid_YP_003046232.1	lcl|NC_003197.1_prot_NP_462211.1_3211
lcl|NC_012967.1_cdsid_YP_003044885.1	lcl|NC_003197.1_prot_NP_460301.1_1304
lcl|NC_012967.1_cdsid_YP_003046503.1	lcl|NC_003197.1_prot_NP_462480.1_3480
lcl|NC_012967.1_cdsid_YP_003044750.1	lcl|NC_003197.1_prot_NP_460465.1_1468
lcl|NC_012967.1_cdsid_YP_003046653.1	lcl|NC_003197.1_prot_NP_462607.1_3607
lcl|NC_012967.1_cdsid_YP_003045245.1	lcl|NC_003197.1_prot_NP_461100.1_2099
lcl|NC_012967.1_cdsid_YP_003044816.1	lcl|NC_003197.1_prot_NP_460403.1_1406
lcl|NC_012967.1_cdsid_YP_003045535.1	lcl|NC_003197.1_prot_NP_461396.1_2397
lcl|NC_012967.1_cdsid_YP_003046577.1	lcl|NC_003197.1_prot_NP_462536.1_3536
lcl|NC_012967.1_cdsid_YP_003045639.1	lcl|NC_003197.1_prot_NP_461500.1_2499
lcl|NC_012967.1_cdsid_YP_003043563.1	lcl|NC_003197.1_prot_NP_459384.1_380
lcl|NC_012967.1_cdsid_YP_003044015.1	lcl|NC_003197.1_prot_NP_459826.1_815
lcl|NC_012967.1_cdsid_YP_003045058.1	lcl|NC_003197.1_prot_NP_460880.1_1879
lcl|NC_012967.1_cdsid_YP_003043648.1	lcl|NC_003197.1_prot_NP_459480.1_474
lcl|NC_012967.1_cdsid_YP_003046284.1	lcl|NC_003197.1_prot_NP_462273.1_3273
lcl|NC_012967.1_cdsid_YP_003045711.1	lcl|NC_003197.1_prot_NP_461722.1_2719
lcl|NC_012967.1_cdsid_YP_003045814.1	lcl|NC_003197.1_prot_NP_461874.1_2872
lcl|NC_012967.1_cdsid_YP_003047112.1	lcl|NC_003197.1_prot_NP_463140.1_4138
lcl|NC_012967.1_cdsid_YP_003046817.1	lcl|NC_003197.1_prot_NP_462788.2_3786
lcl|NC_012967.1_cdsid_YP_003046830.1	lcl|NC_003197.1_prot_NP_462803.1_3801
lcl|NC_012967.1_cdsid_YP_003045855.1	lcl|NC_003197.1_prot_NP_461910.1_2909
lcl|NC_012967.1_cdsid_YP_003045509.1	lcl|NC_003197.1_prot_NP_461370.1_2371
lcl|NC_012967.1_cdsid_YP_003045440.1	lcl|NC_003197.1_prot_NP_461320.1_2320
lcl|NC_012967.1_cdsid_YP_003045637.1	lcl|NC_003197.1_prot_NP_461498.1_2497
lcl|NC_012967.1_cdsid_YP_003045507.1	lcl|NC_003197.1_prot_NP_461367.1_2368
lcl|NC_012967.1_cdsid_YP_003043761.1	lcl|NC_003197.1_prot_NP_459561.1_553
lcl|NC_012967.1_cdsid_YP_003044980.1	lcl|NC_003197.1_prot_NP_460781.1_1782
lcl|NC_012967.1_cdsid_YP_003046226.1	lcl|NC_003197.1_prot_NP_462205.1_3205
lcl|NC_012967.1_cdsid_YP_003046218.1	lcl|NC_003197.1_prot_NP_462197.1_3197
lcl|NC_012967.1_cdsid_YP_003044956.1	lcl|NC_003197.1_prot_NP_460245.1_1249
lcl|NC_012967.1_cdsid_YP_003044703.1	lcl|NC_003197.1_prot_NP_460469.1_1471
lcl|NC_012967.1_cdsid_YP_003045067.1	lcl|NC_003197.1_prot_NP_460888.1_1886
lcl|NC_012967.1_cdsid_YP_003045729.1	lcl|NC_003197.1_prot_NP_461740.1_2739
lcl|NC_012967.1_cdsid_YP_003044257.1	lcl|NC_003197.1_prot_NP_460115.1_1115
lcl|NC_012967.1_cdsid_YP_003046404.1	lcl|NC_003197.1_prot_NP_462380.1_3381
lcl|NC_012967.1_cdsid_YP_003045075.1	lcl|NC_003197.1_prot_NP_460899.1_1897
lcl|NC_012967.1_cdsid_YP_003045634.1	lcl|NC_003197.1_prot_NP_461491.1_2490
lcl|NC_012967.1_cdsid_YP_003045842.1	lcl|NC_003197.1_prot_NP_461896.1_2895
lcl|NC_012967.1_cdsid_YP_003047014.1	lcl|NC_003197.1_prot_NP_462999.1_3997
lcl|NC_012967.1_cdsid_YP_003044107.1	lcl|NC_003197.1_prot_NP_459931.1_927
lcl|NC_012967.1_cdsid_YP_003044025.1	lcl|NC_003197.1_prot_NP_459841.1_830
lcl|NC_012967.1_cdsid_YP_003044517.1	lcl|NC_003197.1_prot_NP_460637.1_1638
lcl|NC_012967.1_cdsid_YP_003044617.1	lcl|NC_003197.1_prot_NP_460546.1_1549
lcl|NC_012967.1_cdsid_YP_003045866.1	lcl|NC_003197.1_prot_NP_461921.1_2920
lcl|NC_012967.1_cdsid_YP_003043971.1	lcl|NC_003197.1_prot_NP_459785.1_774
lcl|NC_012967.1_cdsid_YP_003045494.1	lcl|NC_003197.1_prot_NP_461351.1_2351
lcl|NC_012967.1_cdsid_YP_003043851.1	lcl|NC_003197.1_prot_NP_459666.1_656
lcl|NC_012967.1_cdsid_YP_003043795.1	lcl|NC_003197.1_prot_NP_459600.1_592
lcl|NC_012967.1_cdsid_YP_003047160.1	lcl|NC_003197.1_prot_NP_463162.1_4160
lcl|NC_012967.1_cdsid_YP_003045730.1	lcl|NC_003197.1_prot_NP_461741.1_2740
lcl|NC_012967.1_cdsid_YP_003046615.1	lcl|NC_003197.1_prot_NP_462577.1_3577
lcl|NC_012967.1_cdsid_YP_003044595.1	lcl|NC_003197.1_prot_NP_460569.1_1571
lcl|NC_012967.1_cdsid_YP_003046242.1	lcl|NC_003197.1_prot_NP_462220.1_3220
lcl|NC_012967.1_cdsid_YP_003044190.1	lcl|NC_003197.1_prot_NP_460057.1_1057
lcl|NC_012967.1_cdsid_YP_003046946.1	lcl|NC_003197.1_prot_NP_462908.1_3904
lcl|NC_012967.1_cdsid_YP_003044944.1	lcl|NC_003197.1_prot_NP_460257.1_1261
lcl|NC_012967.1_cdsid_YP_003043612.1	lcl|NC_003197.1_prot_NP_459442.1_436
lcl|NC_012967.1_cdsid_YP_003043424.1	lcl|NC_003197.1_prot_NP_459248.1_244
lcl|NC_012967.1_cdsid_YP_003044647.1	lcl|NC_003197.1_prot_NP_460523.1_1526
lcl|NC_012967.1_cdsid_YP_003044152.1	lcl|NC_003197.1_prot_NP_459975.1_971
lcl|NC_012967.1_cdsid_YP_003043617.1	lcl|NC_003197.1_prot_NP_459446.1_440
lcl|NC_012967.1_cdsid_YP_003043344.1	lcl|NC_003197.1_prot_NP_459159.1_155
lcl|NC_012967.1_cdsid_YP_003044030.1	lcl|NC_003197.1_prot_NP_459845.1_834
lcl|NC_012967.1_cdsid_YP_003047386.1	lcl|NC_003197.1_prot_NP_460079.1_1078
lcl|NC_012967.1_cdsid_YP_003044890.1	lcl|NC_003197.1_prot_NP_460292.1_1296
lcl|NC_012967.1_cdsid_YP_003044442.1	lcl|NC_003197.1_prot_NP_460693.1_1695
lcl|NC_012967.1_cdsid_YP_003043778.1	lcl|NC_003197.1_prot_NP_459583.1_575
lcl|NC_012967.1_cdsid_YP_003047252.1	lcl|NC_003197.1_prot_NP_463261.1_4260
lcl|NC_012967.1_cdsid_YP_003044811.1	lcl|NC_003197.1_prot_NP_460408.1_1411
lcl|NC_012967.1_cdsid_YP_003047235.1	lcl|NC_003197.1_prot_NP_463249.1_4248
lcl|NC_012967.1_cdsid_YP_003045874.1	lcl|NC_003197.1_prot_NP_461930.1_2930
lcl|NC_012967.1_cdsid_YP_003045534.1	lcl|NC_003197.1_prot_NP_461395.1_2396
lcl|NC_012967.1_cdsid_YP_003043640.1	lcl|NC_003197.1_prot_NP_459471.1_465
lcl|NC_012967.1_cdsid_YP_003045828.1	lcl|NC_003197.1_prot_NP_461888.1_2887
lcl|NC_012967.1_cdsid_YP_003046146.1	lcl|NC_003197.1_prot_NP_462052.1_3052
lcl|NC_012967.1_cdsid_YP_003047021.1	lcl|NC_003197.1_prot_NP_463006.2_4004
lcl|NC_012967.1_cdsid_YP_003045960.1	lcl|NC_003197.1_prot_NP_462006.1_3006
lcl|NC_012967.1_cdsid_YP_003045334.1	lcl|NC_003197.1_prot_NP_461209.1_2208
lcl|NC_012967.1_cdsid_YP_003046906.1	lcl|NC_003197.1_prot_NP_462861.3_3859
lcl|NC_012967.1_cdsid_YP_003044958.1	lcl|NC_003197.1_prot_NP_460243.1_1247
lcl|NC_012967.1_cdsid_YP_003043417.1	lcl|NC_003197.1_prot_NP_459243.1_239
lcl|NC_012967.1_cdsid_YP_003045294.1	lcl|NC_003197.1_prot_NP_461155.2_2154
lcl|NC_012967.1_cdsid_YP_003047201.1	lcl|NC_003197.1_prot_NP_463213.2_4212
lcl|NC_012967.1_cdsid_YP_003043281.1	lcl|NC_003197.1_prot_NP_459092.1_88
lcl|NC_012967.1_cdsid_YP_003045980.1	lcl|NC_003197.1_prot_NP_462027.1_3027
lcl|NC_012967.1_cdsid_YP_003046466.1	lcl|NC_003197.1_prot_NP_462438.1_3439
lcl|NC_012967.1_cdsid_YP_003044026.1	lcl|NC_003197.1_prot_NP_459842.1_831
lcl|NC_012967.1_cdsid_YP_003046428.1	lcl|NC_003197.1_prot_NP_462392.1_3393
lcl|NC_012967.1_cdsid_YP_003045212.1	lcl|NC_003197.1_prot_NP_462173.1_3173
lcl|NC_012967.1_cdsid_YP_003047259.1	lcl|NC_003197.1_prot_NP_463268.1_4267
lcl|NC_012967.1_cdsid_YP_003043691.1	lcl|NC_003197.1_prot_NP_459521.1_515
lcl|NC_012967.1_cdsid_YP_003046813.1	lcl|NC_003197.1_prot_NP_462784.1_3782
lcl|NC_012967.1_cdsid_YP_003045162.1	lcl|NC_003197.1_prot_NP_461063.1_2061
lcl|NC_012967.1_cdsid_YP_003045513.1	lcl|NC_003197.1_prot_NP_461376.1_2377
lcl|NC_012967.1_cdsid_YP_003047191.1	lcl|NC_003197.1_prot_NP_463203.1_4202
lcl|NC_012967.1_cdsid_YP_003044460.1	lcl|NC_003197.1_prot_NP_460675.1_1677
lcl|NC_012967.1_cdsid_YP_003045004.1	lcl|NC_003197.1_prot_NP_460807.1_1808
lcl|NC_012967.1_cdsid_YP_003046539.1	lcl|NC_003197.1_prot_NP_460521.1_1524
lcl|NC_012967.1_cdsid_YP_003046271.1	lcl|NC_003197.1_prot_NP_462250.1_3250
lcl|NC_012967.1_cdsid_YP_003045366.1	lcl|NC_003197.1_prot_NP_461233.1_2232
lcl|NC_012967.1_cdsid_YP_003044793.1	lcl|NC_003197.1_prot_NP_460425.2_1428
lcl|NC_012967.1_cdsid_YP_003044468.1	lcl|NC_003197.1_prot_NP_460667.1_1669
lcl|NC_012967.1_cdsid_YP_003044309.1	lcl|NC_003197.1_prot_NP_460167.1_1169
lcl|NC_012967.1_cdsid_YP_003043570.1	lcl|NC_003197.1_prot_NP_459388.1_384
lcl|NC_012967.1_cdsid_YP_003044589.1	lcl|NC_003197.1_prot_NP_460584.1_1586
lcl|NC_012967.1_cdsid_YP_003046656.1	lcl|NC_003197.1_prot_NP_462610.1_3610
